numero,hallazgo
1,"La variable objetivo presenta un desbalance importante: 10.252 registros corresponden a pagos a tiempo (95,25%) y 511 corresponden a pagos fuera de tiempo (4,75%)."
2,"Debido al desbalance del target, en una etapa posterior de modelado no se debería utilizar únicamente la exactitud como métrica de evaluación. También deberían considerarse precision, recall, F1-score, matriz de confusión y ROC-AUC."
3,"Las variables con mayor proporción de valores nulos son: tendencia_ingresos (27,78%), promedio_ingresos_datacredito (27,22%), saldo_mora_codeudor (5,48%), saldo_principal (3,76%), saldo_pendiente_estimado (3,76%)."
4,Los valores nulos deben tratarse dentro del pipeline de preprocesamiento del modelo. La estrategia dependerá del tipo de variable y del significado de los datos faltantes.
5,"Las variables con mayor correlación absoluta con Pago_atiempo son: puntaje (0,9257), huella_consulta (-0,0737), saldo_mora (-0,0735), puntaje_datacredito (0,0682), plazo_meses (-0,0631)."
6,"Se observa al menos una correlación muy elevada entre una variable numérica y Pago_atiempo. La variable puntaje presenta una correlación de 0,9257. Esta relación debe revisarse para descartar fuga de información o variables construidas utilizando datos posteriores al momento de otorgamiento del crédito."
7,La variable relacion_cuota_salario permite identificar 11 registros en los que la cuota mensual supera el ingreso utilizado en el cálculo. Estos casos deben revisarse desde el punto de vista financiero y de calidad de datos.
8,La variable relacion_deuda_salario presenta 5.419 registros con valores superiores a 1. Esto indica que la deuda supera el ingreso considerado y puede representar una señal de presión financiera.
9,"Las variables financieras pueden presentar asimetría y valores atípicos. En esta etapa exploratoria no se eliminaron ni modificaron estos registros, ya que primero debe determinarse si representan errores o situaciones reales."
10,tipo_credito debe tratarse como una variable categórica nominal si sus valores representan categorías de crédito. No debe interpretarse automáticamente como una escala numérica.
11,Los resultados del EDA son descriptivos y no permiten afirmar causalidad. Las relaciones encontradas deben validarse durante la preparación del modelo y mediante pruebas estadísticas o técnicas de validación adicionales.
