tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado,prediccion_modelo,probabilidad_incumplimiento,probabilidad_pago_atiempo,resultado_prediccion
7,2024-12-21 11:31:00,3692160.0,10.0,42.0,Independiente,8000000.0,2500000.0,341296.0,88.768094,695.0,10.0,5.0,0.0,51258.0,51258.0,0.0,5.0,0.0,0.0,908526.0,Estable,1,2024,12,5,11,0.042662,0.77402,0.0,0,0.5069222813561239,0.49307771864387606,Posible incumplimiento
4,2025-04-22 09:47:00,840000.0,6.0,60.0,Empleado,3000000.0,2000000.0,124876.0,95.227787,789.0,3.0,1.0,0.0,8673.0,8673.0,0.0,0.0,0.0,2.0,939017.0,Creciente,1,2025,4,1,9,0.0416253333333333,0.9466666666666668,0.0,1,0.2534933733911904,0.7465066266088096,Pago a tiempo
9,2026-01-08 12:22:00,5974028.0,10.0,36.0,Independiente,4036000.0,829000.0,529554.0,47.613894,740.0,4.0,5.0,0.0,18702.0,18702.0,0.0,3.0,0.0,0.0,,,0,2026,1,3,12,0.1312076313181367,1.6855867195242815,0.0,1,0.21488965733490184,0.7851103426650982,Pago a tiempo
4,2025-08-04 12:04:00,1671240.0,6.0,48.0,Empleado,1524547.0,498000.0,252420.0,95.227787,837.0,4.0,4.0,0.0,15782.0,15782.0,0.0,3.0,0.0,0.0,1536193.0,Creciente,1,2025,8,0,12,0.1655704940549553,1.4228751229053611,0.0,1,0.18975275779966327,0.8102472422003367,Pago a tiempo
9,2025-04-26 11:24:00,2781636.0,11.0,44.0,Empleado,5000000.0,4000000.0,217037.0,95.227787,771.0,4.0,6.0,0.0,204804.0,204804.0,0.0,3.0,0.0,1.0,933473.0,Creciente,1,2025,4,5,11,0.0434074,1.3563272,0.0,1,0.4393569938726821,0.5606430061273179,Pago a tiempo
4,2025-06-10 08:54:00,1031928.0,12.0,32.0,Empleado,2800000.0,800000.0,82872.0,95.227787,721.0,10.0,13.0,0.0,24399.0,24399.0,0.0,2.0,0.0,8.0,2808474.0,Creciente,1,2025,6,1,8,0.0295971428571428,0.65426,0.0,0,0.7006361202825007,0.2993638797174993,Posible incumplimiento
4,2025-08-09 13:00:00,3064280.0,6.0,68.0,Independiente,1000000.0,22005000.0,461231.0,95.227787,814.0,11.0,8.0,0.0,211775.0,211775.0,0.0,6.0,3.0,0.0,969508.0,Creciente,1,2025,8,5,13,0.461231,25.06928,0.0,1,0.0854022645081981,0.9145977354918019,Pago a tiempo
4,2025-08-18 12:49:00,3619560.0,6.0,31.0,Empleado,3782303.0,305000.0,542079.0,95.227787,760.0,1.0,5.0,0.0,12078.0,12078.0,0.0,0.0,1.0,0.0,3782303.0,Creciente,1,2025,8,0,12,0.1433198239273796,1.037611212004961,0.0,1,0.232902498868659,0.767097501131341,Pago a tiempo
9,2025-05-30 09:11:00,2134828.0,10.0,31.0,Empleado,14500000.0,8000000.0,181732.0,95.227787,737.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,14007850.0,Creciente,1,2025,5,4,9,0.0125332413793103,0.6989536551724138,,1,0.21295591467880237,0.7870440853211976,Pago a tiempo
4,2024-12-31 14:32:00,8400000.0,6.0,45.0,Empleado,14000000.0,5000000.0,1166667.0,95.227787,752.0,4.0,3.0,0.0,125383.0,125383.0,0.0,2.0,0.0,0.0,28889623.0,Creciente,1,2024,12,1,14,0.0833333571428571,0.9571428571428572,0.0,1,0.051152056860190864,0.9488479431398091,Pago a tiempo
9,2025-03-21 12:29:00,1269000.0,3.0,61.0,Independiente,5000000.0,2000000.0,336766.0,95.227787,708.0,11.0,15.0,0.0,178727.0,157581.0,0.0,5.0,2.0,3.0,,,1,2025,3,4,12,0.0673532,0.6538,21146.0,0,0.6491834844115345,0.35081651558846555,Posible incumplimiento
4,2025-03-25 17:19:00,2236561.0,12.0,58.0,Empleado,2800000.0,400000.0,175932.0,95.227787,754.0,10.0,2.0,0.0,56437.0,56437.0,0.0,5.0,0.0,3.0,3922859.0,Creciente,1,2025,3,1,17,0.0628328571428571,0.9416289285714284,0.0,1,0.17290315443589954,0.8270968455641005,Pago a tiempo
4,2025-03-15 12:03:00,4284000.0,8.0,66.0,Independiente,8000000.0,2400000.0,486710.0,95.227787,809.0,5.0,4.0,0.0,34874.0,34874.0,0.0,3.0,0.0,1.0,916148.0,Creciente,1,2025,3,5,12,0.06083875,0.8355,0.0,1,0.40945360276382814,0.5905463972361719,Pago a tiempo
4,2024-12-17 10:40:00,2969520.0,12.0,61.0,Independiente,4000000.0,1500000.0,232992.0,95.227787,858.0,5.0,2.0,0.0,67246.0,56774.0,0.0,3.0,0.0,1.0,,,1,2024,12,1,10,0.058248,1.11738,10472.0,1,0.3177302555013567,0.6822697444986433,Pago a tiempo
4,2025-01-01 16:57:00,1798440.0,12.0,52.0,Empleado,1800000.0,100000.0,140941.0,95.227787,795.0,4.0,2.0,0.0,11296.0,11296.0,0.0,3.0,0.0,1.0,1765398.0,Creciente,1,2025,1,2,16,0.0783005555555555,1.0546888888888888,0.0,1,0.2872029085014569,0.7127970914985431,Pago a tiempo
4,2025-02-23 09:22:00,2760000.0,12.0,43.0,Independiente,2500000.0,800000.0,216838.0,95.227787,861.0,3.0,0.0,0.0,30260.0,30260.0,0.0,1.0,2.0,0.0,,,1,2025,2,6,9,0.0867352,1.424,0.0,1,0.359779369528613,0.640220630471387,Pago a tiempo
