tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado
7,2024-12-21 11:31:00,3692160.0,10.0,42.0,Independiente,8000000.0,2500000.0,341296.0,88.768094,695.0,10.0,5.0,0.0,51258.0,51258.0,0.0,5.0,0.0,0.0,908526.0,Estable,1,2024,12,5,11,0.042662,0.77402,0.0
4,2025-04-22 09:47:00,840000.0,6.0,60.0,Empleado,3000000.0,2000000.0,124876.0,95.227787,789.0,3.0,1.0,0.0,8673.0,8673.0,0.0,0.0,0.0,2.0,939017.0,Creciente,1,2025,4,1,9,0.041625333333333334,0.9466666666666667,0.0
9,2026-01-08 12:22:00,5974028.0,10.0,36.0,Independiente,4036000.0,829000.0,529554.0,47.613894,740.0,4.0,5.0,0.0,18702.0,18702.0,0.0,3.0,0.0,0.0,,,0,2026,1,3,12,0.13120763131813676,1.6855867195242815,0.0
4,2025-08-04 12:04:00,1671240.0,6.0,48.0,Empleado,1524547.0,498000.0,252420.0,95.227787,837.0,4.0,4.0,0.0,15782.0,15782.0,0.0,3.0,0.0,0.0,1536193.0,Creciente,1,2025,8,0,12,0.16557049405495533,1.4228751229053613,0.0
9,2025-04-26 11:24:00,2781636.0,11.0,44.0,Empleado,5000000.0,4000000.0,217037.0,95.227787,771.0,4.0,6.0,0.0,204804.0,204804.0,0.0,3.0,0.0,1.0,933473.0,Creciente,1,2025,4,5,11,0.0434074,1.3563272,0.0
4,2025-06-10 08:54:00,1031928.0,12.0,32.0,Empleado,2800000.0,800000.0,82872.0,95.227787,721.0,10.0,13.0,0.0,24399.0,24399.0,0.0,2.0,0.0,8.0,2808474.0,Creciente,1,2025,6,1,8,0.029597142857142857,0.65426,0.0
4,2025-08-09 13:00:00,3064280.0,6.0,68.0,Independiente,1000000.0,22005000.0,461231.0,95.227787,814.0,11.0,8.0,0.0,211775.0,211775.0,0.0,6.0,3.0,0.0,969508.0,Creciente,1,2025,8,5,13,0.461231,25.06928,0.0
4,2025-08-18 12:49:00,3619560.0,6.0,31.0,Empleado,3782303.0,305000.0,542079.0,95.227787,760.0,1.0,5.0,0.0,12078.0,12078.0,0.0,0.0,1.0,0.0,3782303.0,Creciente,1,2025,8,0,12,0.14331982392737969,1.037611212004961,0.0
9,2025-05-30 09:11:00,2134828.0,10.0,31.0,Empleado,14500000.0,8000000.0,181732.0,95.227787,737.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,14007850.0,Creciente,1,2025,5,4,9,0.012533241379310344,0.6989536551724138,
4,2024-12-31 14:32:00,8400000.0,6.0,45.0,Empleado,14000000.0,5000000.0,1166667.0,95.227787,752.0,4.0,3.0,0.0,125383.0,125383.0,0.0,2.0,0.0,0.0,28889623.0,Creciente,1,2024,12,1,14,0.08333335714285714,0.9571428571428572,0.0
